"code","label","domain","description"
"strategy-classification","Strategy Classification","observation_type","Classification of a strategic approach or positioning."
"viability-prediction","Viability Prediction","observation_type","Analyst prediction about future viability or success."
"actual-outcome","Actual Outcome","observation_type","Verified historical outcome of a prediction or situation."
"technology-assessment","Technology Assessment","observation_type","Evaluation of a technology capability, quality, or status."
"benchmark-result","Benchmark Result","observation_type","Performance benchmark measurement."
"framework-factor","Framework Factor","observation_type","Factor within an analytical framework or model."
"market-data","Market Data","observation_type","Quantitative or qualitative market information."
"expert-opinion","Expert Opinion","observation_type","Analyst or expert judgment without formal data backing."
"HADE","High-end App Dev Environment","technology-category","Aberdeen term for enterprise-grade distributed application development environments."
"OLTP","Online Transaction Processing","technology-category","Real-time transaction processing workloads."
"product-profile","Product Profile","study-type","Aberdeen vendor/product evaluation report."
